great_area1,color
Ciências Agrárias,"#F65852"
Ciências Biológicas,"#4D5048"
Ciências da Saúde,"#DD87FB"
Ciências Exatas e da Terra,"#3FC0FF"
Ciências Humanas,"#74BF00"
Ciências Sociais e Aplicadas,"#F88B16"
Engenharias,"#3BBE90"
Linguística Letras e Artes,"#D1B7A9"
