region_1,region_2,color,region
Centro-Oeste,Centro-Oeste,"#e41a1c",20.0
Centro-Oeste,Nordeste,"#377eb8",13.5
Centro-Oeste,Norte,"#4daf4a",3.4
Centro-Oeste,Sudeste,"#984ea3",47.7
Centro-Oeste,Sul,"#ff7f00",15.4
Norte,Centro-Oeste,"#e41a1c",7.0
Norte,Nordeste,"#377eb8",15.6
Norte,Norte,"#4daf4a",20.1
Norte,Sudeste,"#984ea3",43.2
Norte,Sul,"#ff7f00",14.1
Nordeste,Centro-Oeste,"#e41a1c",5.4
Nordeste,Nordeste,"#377eb8",32.5
Nordeste,Norte,"#4daf4a",3.1
Nordeste,Sudeste,"#984ea3",43.3
Nordeste,Sul,"#ff7f00",15.7
Sul,Centro-Oeste,"#e41a1c",5.5
Sul,Nordeste,"#377eb8",13.9
Sul,Norte,"#4daf4a",2.5
Sul,Sudeste,"#984ea3",38.9
Sul,Sul,"#ff7f00",39.3
Sudeste,Centro-Oeste,"#e41a1c",6.9
Sudeste,Nordeste,"#377eb8",15.6
Sudeste,Norte,"#4daf4a",3.1
Sudeste,Sudeste,"#984ea3",58.6
Sudeste,Sul,"#ff7f00",15.8
