great_area,ano,qtde,color
Ciências Agrárias,1986,2,"#F65582"
Ciências Agrárias,1987,0,"#F65582"
Ciências Agrárias,1988,3,"#F65582"
Ciências Agrárias,1989,1,"#F65582"
Ciências Agrárias,1990,0,"#F65582"
Ciências Agrárias,1991,1,"#F65582"
Ciências Agrárias,1992,3,"#F65582"
Ciências Agrárias,1993,2,"#F65582"
Ciências Agrárias,1994,1,"#F65582"
Ciências Agrárias,1995,3,"#F65582"
Ciências Agrárias,1996,2,"#F65582"
Ciências Agrárias,1997,10,"#F65582"
Ciências Agrárias,1998,10,"#F65582"
Ciências Agrárias,1999,5,"#F65582"
Ciências Agrárias,2000,10,"#F65582"
Ciências Agrárias,2001,14,"#F65582"
Ciências Agrárias,2002,17,"#F65582"
Ciências Agrárias,2003,24,"#F65582"
Ciências Agrárias,2004,15,"#F65582"
Ciências Agrárias,2005,6,"#F65582"
Ciências Agrárias,2006,13,"#F65582"
Ciências Agrárias,2007,21,"#F65582"
Ciências Agrárias,2008,21,"#F65582"
Ciências Agrárias,2009,24,"#F65582"
Ciências Agrárias,2010,15,"#F65582"
Ciências Agrárias,2011,24,"#F65582"
Ciências Agrárias,2012,26,"#F65582"
Ciências Agrárias,2013,37,"#F65582"
Ciências Agrárias,2014,33,"#F65582"
Ciências Agrárias,2015,37,"#F65582"
Ciências Agrárias,2016,29,"#F65582"
Ciências Agrárias,2017,27,"#F65582"
Ciências Biológicas,1985,1,"#4D5048"
Ciências Biológicas,1986,0,"#4D5048"
Ciências Biológicas,1987,1,"#4D5048"
Ciências Biológicas,1988,0,"#4D5048"
Ciências Biológicas,1989,3,"#4D5048"
Ciências Biológicas,1990,2,"#4D5048"
Ciências Biológicas,1991,1,"#4D5048"
Ciências Biológicas,1992,6,"#4D5048"
Ciências Biológicas,1993,1,"#4D5048"
Ciências Biológicas,1994,3,"#4D5048"
Ciências Biológicas,1995,1,"#4D5048"
Ciências Biológicas,1996,4,"#4D5048"
Ciências Biológicas,1997,4,"#4D5048"
Ciências Biológicas,1998,9,"#4D5048"
Ciências Biológicas,1999,6,"#4D5048"
Ciências Biológicas,2000,12,"#4D5048"
Ciências Biológicas,2001,10,"#4D5048"
Ciências Biológicas,2002,18,"#4D5048"
Ciências Biológicas,2003,16,"#4D5048"
Ciências Biológicas,2004,20,"#4D5048"
Ciências Biológicas,2005,18,"#4D5048"
Ciências Biológicas,2006,19,"#4D5048"
Ciências Biológicas,2007,21,"#4D5048"
Ciências Biológicas,2008,33,"#4D5048"
Ciências Biológicas,2009,29,"#4D5048"
Ciências Biológicas,2010,30,"#4D5048"
Ciências Biológicas,2011,39,"#4D5048"
Ciências Biológicas,2012,38,"#4D5048"
Ciências Biológicas,2013,42,"#4D5048"
Ciências Biológicas,2014,52,"#4D5048"
Ciências Biológicas,2015,48,"#4D5048"
Ciências Biológicas,2016,55,"#4D5048"
Ciências Biológicas,2017,59,"#4D5048"
Ciências da Saúde,1981,1,"#DD87FB"
Ciências da Saúde,1982,0,"#DD87FB"
Ciências da Saúde,1983,0,"#DD87FB"
Ciências da Saúde,1984,0,"#DD87FB"
Ciências da Saúde,1985,0,"#DD87FB"
Ciências da Saúde,1986,0,"#DD87FB"
Ciências da Saúde,1987,1,"#DD87FB"
Ciências da Saúde,1988,2,"#DD87FB"
Ciências da Saúde,1989,2,"#DD87FB"
Ciências da Saúde,1990,3,"#DD87FB"
Ciências da Saúde,1991,3,"#DD87FB"
Ciências da Saúde,1992,4,"#DD87FB"
Ciências da Saúde,1993,3,"#DD87FB"
Ciências da Saúde,1994,6,"#DD87FB"
Ciências da Saúde,1995,7,"#DD87FB"
Ciências da Saúde,1996,17,"#DD87FB"
Ciências da Saúde,1997,21,"#DD87FB"
Ciências da Saúde,1998,25,"#DD87FB"
Ciências da Saúde,1999,32,"#DD87FB"
Ciências da Saúde,2000,42,"#DD87FB"
Ciências da Saúde,2001,48,"#DD87FB"
Ciências da Saúde,2002,57,"#DD87FB"
Ciências da Saúde,2003,67,"#DD87FB"
Ciências da Saúde,2004,64,"#DD87FB"
Ciências da Saúde,2005,62,"#DD87FB"
Ciências da Saúde,2006,75,"#DD87FB"
Ciências da Saúde,2007,87,"#DD87FB"
Ciências da Saúde,2008,99,"#DD87FB"
Ciências da Saúde,2009,98,"#DD87FB"
Ciências da Saúde,2010,122,"#DD87FB"
Ciências da Saúde,2011,128,"#DD87FB"
Ciências da Saúde,2012,157,"#DD87FB"
Ciências da Saúde,2013,159,"#DD87FB"
Ciências da Saúde,2014,150,"#DD87FB"
Ciências da Saúde,2015,150,"#DD87FB"
Ciências da Saúde,2016,148,"#DD87FB"
