great_area,ano,qtde,color
Agrarian Sciences,1977,1,"#2166ac"
Agrarian Sciences,1978,0,"#2166ac"
Agrarian Sciences,1979,1,"#2166ac"
Agrarian Sciences,1980,1,"#2166ac"
Agrarian Sciences,1981,7,"#2166ac"
Agrarian Sciences,1982,1,"#2166ac"
Agrarian Sciences,1983,2,"#2166ac"
Agrarian Sciences,1984,6,"#2166ac"
Agrarian Sciences,1985,8,"#2166ac"
Agrarian Sciences,1986,9,"#2166ac"
Agrarian Sciences,1987,9,"#2166ac"
Agrarian Sciences,1988,7,"#2166ac"
Agrarian Sciences,1989,7,"#2166ac"
Agrarian Sciences,1990,10,"#2166ac"
Agrarian Sciences,1991,6,"#2166ac"
Agrarian Sciences,1992,13,"#2166ac"
Agrarian Sciences,1993,21,"#2166ac"
Agrarian Sciences,1994,21,"#2166ac"
Agrarian Sciences,1995,36,"#2166ac"
Agrarian Sciences,1996,50,"#2166ac"
Agrarian Sciences,1997,74,"#2166ac"
Agrarian Sciences,1998,91,"#2166ac"
Agrarian Sciences,1999,97,"#2166ac"
Agrarian Sciences,2000,155,"#2166ac"
Agrarian Sciences,2001,161,"#2166ac"
Agrarian Sciences,2002,178,"#2166ac"
Agrarian Sciences,2003,264,"#2166ac"
Agrarian Sciences,2004,315,"#2166ac"
Agrarian Sciences,2005,277,"#2166ac"
Agrarian Sciences,2006,341,"#2166ac"
Agrarian Sciences,2007,382,"#2166ac"
Agrarian Sciences,2008,376,"#2166ac"
Agrarian Sciences,2009,368,"#2166ac"
Agrarian Sciences,2010,370,"#2166ac"
Agrarian Sciences,2011,343,"#2166ac"
Agrarian Sciences,2012,323,"#2166ac"
Agrarian Sciences,2013,265,"#2166ac"
Agrarian Sciences,2014,263,"#2166ac"
Agrarian Sciences,2015,240,"#2166ac"
Agrarian Sciences,2016,179,"#2166ac"
Agrarian Sciences,2017,91,"#2166ac"
Biological Sciences,1976,1,"#92c5de"
Biological Sciences,1977,0,"#92c5de"
Biological Sciences,1978,0,"#92c5de"
Biological Sciences,1979,1,"#92c5de"
Biological Sciences,1980,0,"#92c5de"
Biological Sciences,1981,2,"#92c5de"
Biological Sciences,1982,0,"#92c5de"
Biological Sciences,1983,1,"#92c5de"
Biological Sciences,1984,2,"#92c5de"
Biological Sciences,1985,1,"#92c5de"
Biological Sciences,1986,1,"#92c5de"
Biological Sciences,1987,5,"#92c5de"
Biological Sciences,1988,3,"#92c5de"
Biological Sciences,1989,8,"#92c5de"
Biological Sciences,1990,8,"#92c5de"
Biological Sciences,1991,6,"#92c5de"
Biological Sciences,1992,3,"#92c5de"
Biological Sciences,1993,13,"#92c5de"
Biological Sciences,1994,21,"#92c5de"
Biological Sciences,1995,33,"#92c5de"
Biological Sciences,1996,45,"#92c5de"
Biological Sciences,1997,62,"#92c5de"
Biological Sciences,1998,69,"#92c5de"
Biological Sciences,1999,51,"#92c5de"
Biological Sciences,2000,59,"#92c5de"
Biological Sciences,2001,101,"#92c5de"
Biological Sciences,2002,94,"#92c5de"
Biological Sciences,2003,139,"#92c5de"
Biological Sciences,2004,169,"#92c5de"
Biological Sciences,2005,167,"#92c5de"
Biological Sciences,2006,139,"#92c5de"
Biological Sciences,2007,124,"#92c5de"
Biological Sciences,2008,124,"#92c5de"
Biological Sciences,2009,126,"#92c5de"
Biological Sciences,2010,126,"#92c5de"
Biological Sciences,2011,140,"#92c5de"
Biological Sciences,2012,129,"#92c5de"
Biological Sciences,2013,126,"#92c5de"
Biological Sciences,2014,89,"#92c5de"
Biological Sciences,2015,99,"#92c5de"
Biological Sciences,2016,72,"#92c5de"
Biological Sciences,2017,48,"#92c5de"
Engineering,1979,3,"#d1e5f0"
Engineering,1980,1,"#d1e5f0"
Engineering,1981,1,"#d1e5f0"
Engineering,1982,3,"#d1e5f0"
Engineering,1983,2,"#d1e5f0"
Engineering,1984,10,"#d1e5f0"
Engineering,1985,10,"#d1e5f0"
Engineering,1986,9,"#d1e5f0"
